Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly Total Load Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
 11/06  08:00:00,0.134395009,0.211338342,0.345733351,0.442607274,0.79146348
 11/06  09:00:00,0.121496035,0.272663295,0.39415933,0.79581681,1.277969172
 11/06  10:00:00,0.117066586,0.334037085,0.45110367,1.06277424,1.532540676
 11/06  11:00:00,0.12558548,0.348809033,0.474394513,1.25572506,1.63165617
 11/06  12:00:00,0.097060037,0.364933981,0.461994018,1.180257978,1.48757499
 11/06  13:00:00,0.085146898,0.355773214,0.440920111,1.23760959,1.183347438
 11/06  14:00:00,0.076475635,0.321952343,0.398427979,0.919479468,0.817330686
 11/06  15:00:00,0.064880522,0.296716788,0.36159731,0.591041784,0.41735796
 11/06  16:00:00,0.058186752,0.306790856,0.364977608,0.179806572,0.08411757
 11/06  17:00:00,0.05521196,0.35732319,0.41253515,0,0
 11/06  18:00:00,0.07719819,0.448200529,0.525398719,0,0
 11/06  19:00:00,0.05174514,0.402135423,0.453880564,0,0
 11/06  20:00:00,0.048322174,0.319977444,0.368299618,0,0
 11/06  21:00:00,0.050487256,0.280754343,0.3312416,0,0
 11/06  22:00:00,0.05458381,0.263298624,0.317882434,0,0
 11/06  23:00:00,0.06138699,0.21075981,0.2721468,0,0
 11/06  24:00:00,0.06922411,0.140550925,0.209775035,0,0
 11/07  01:00:00,0.077651489,0.090892612,0.1685441,0,0
 11/07  02:00:00,0.085213093,0.07666173,0.161874823,0,0
 11/07  03:00:00,0.089594488,0.064098165,0.153692653,0,0
 11/07  04:00:00,0.095183417,0.056862021,0.152045439,0,0
 11/07  05:00:00,0.099387199,0.067277,0.166664199,0,0
 11/07  06:00:00,0.099363118,0.080047784,0.179410902,0,0.014408118
 11/07  07:00:00,0.107363759,0.133753612,0.241117372,0.075186222,0.17918868
 11/07  08:00:00,0.109056963,0.211338342,0.320395305,0.314113824,0.321668958
 11/07  09:00:00,0.100183495,0.272663295,0.37284679,0.624604554,0.606741858
 11/07  10:00:00,0.097902551,0.334037085,0.431939635,0.867632712,0.815252322
 11/07  11:00:00,0.12030655,0.348809033,0.469115583,0.994693776,0.715406592
 11/07  12:00:00,0.094517171,0.364933981,0.459451152,0.942931278,0.79862541
 11/07  13:00:00,0.084677366,0.355773214,0.44045058,0.750345576,0.706025868
 11/07  14:00:00,0.084056437,0.321952343,0.40600878,0.593990814,0.50793531
 11/07  15:00:00,0.085535492,0.296716788,0.382252281,0.310266042,0.243280932
 11/07  16:00:00,0.081310903,0.306790856,0.388101758,0.08650488,0.059626578
 11/07  17:00:00,0.077162388,0.35732319,0.434485578,0,0
 11/07  18:00:00,0.094267838,0.448200529,0.542468367,0,0
 11/07  19:00:00,0.06634874,0.402135423,0.468484163,0,0
 11/07  20:00:00,0.061461012,0.319977444,0.381438456,0,0
 11/07  21:00:00,0.062421906,0.280754343,0.343176249,0,0
 11/07  22:00:00,0.065933199,0.263298624,0.329231823,0,0
 11/07  23:00:00,0.072446059,0.21075981,0.283205869,0,0
 11/07  24:00:00,0.080083329,0.140550925,0.220634254,0,0
 11/08  01:00:00,0.088001591,0.090892612,0.178894202,0,0
 11/08  02:00:00,0.093152901,0.07666173,0.169814631,0,0
 11/08  03:00:00,0.096774775,0.064098165,0.16087294,0,0
 11/08  04:00:00,0.099150246,0.056862021,0.156012267,0,0
 11/08  05:00:00,0.100868743,0.067277,0.168145743,0,0
 11/08  06:00:00,0.099662115,0.080047784,0.179709899,0,0.02640084
 11/08  07:00:00,0.109856457,0.133753612,0.243610069,0.058755912,0.348322572
 11/08  08:00:00,0.092858517,0.211338342,0.304196859,0.27088947,0.842636172
 11/08  09:00:00,0.086804681,0.272663295,0.359467975,0.526275468,1.237637676
 11/08  10:00:00,0.076834181,0.334037085,0.410871265,0.759782472,1.471453626
 11/08  11:00:00,0.07781076,0.348809033,0.426619793,0.860021406,1.646176632
 11/08  12:00:00,0.046641553,0.364933981,0.411575535,0.83864796,1.496337822
 11/08  13:00:00,0.036669841,0.355773214,0.392443054,0.420250818,1.235812086
 11/08  14:00:00,0.034014816,0.321952343,0.35596716,0.32172513,0.87459804
 11/08  15:00:00,0.025676064,0.296716788,0.322392853,0.167926194,0.454234878
 11/08  16:00:00,0.027405591,0.306790856,0.334196447,0.03749481,0.085718472
 11/08  17:00:00,0.026901223,0.35732319,0.384224413,0,0
 11/08  18:00:00,0.048464006,0.448200529,0.496664535,0,0
 11/08  19:00:00,0.033213093,0.402135423,0.435348517,0,0
 11/08  20:00:00,0.032206663,0.319977444,0.352184107,0,0
 11/08  21:00:00,0.035563987,0.280754343,0.31631833,0,0
 11/08  22:00:00,0.041546845,0.263298624,0.304845469,0,0
 11/08  23:00:00,0.052973942,0.21075981,0.263733752,0,0
 11/08  24:00:00,0.062563303,0.140550925,0.203114228,0,0
 11/09  01:00:00,0.069589938,0.090892612,0.160482549,0,0
 11/09  02:00:00,0.074895392,0.07666173,0.151557123,0,0
 11/09  03:00:00,0.078518946,0.064098165,0.14261711,0,0
 11/09  04:00:00,0.07792123,0.056862021,0.134783251,0,0
 11/09  05:00:00,0.078326177,0.067277,0.145603176,0,0
 11/09  06:00:00,0.076204855,0.080047784,0.156252638,0,0.024547164
 11/09  07:00:00,0.070286108,0.133753612,0.204039721,0.057941418,0.303019854
 11/09  08:00:00,0.063022642,0.211338342,0.274360984,0.224856516,0.775426374
 11/09  09:00:00,0.057161011,0.272663295,0.329824306,0.38941239,1.232806884
 11/09  10:00:00,0.052513244,0.334037085,0.386550328,0.57520128,1.505943234
 11/09  11:00:00,0.060212571,0.348809033,0.409021604,0.7035543,1.582477584
 11/09  12:00:00,0.045267112,0.364933981,0.410201093,0.906981198,1.560205386
 11/09  13:00:00,0.037548293,0.355773214,0.393321507,0.622863222,1.163574894
 11/09  14:00:00,0.034970353,0.321952343,0.356922696,0.481309782,0.892039446
 11/09  15:00:00,0.026127334,0.296716788,0.322844122,0.248308326,0.49094328
 11/09  16:00:00,0.021735335,0.306790856,0.32852619,0.062126232,0.095183454
 11/09  17:00:00,0.012507258,0.35732319,0.369830449,0,0
 11/09  18:00:00,0.011090531,0.448200529,0.45929106,0,0
 11/09  19:00:00,0,0.402135423,0.402135423,0,0
 11/09  20:00:00,0,0.319977444,0.319977444,0,0
 11/09  21:00:00,0,0.280754343,0.280754343,0,0
 11/09  22:00:00,0,0.263298624,0.263298624,0,0
 11/09  23:00:00,0,0.21075981,0.21075981,0,0
 11/09  24:00:00,0,0.140550925,0.140550925,0,0
 11/10  01:00:00,0.011155631,0.090892612,0.102048243,0,0
 11/10  02:00:00,0.022305401,0.07666173,0.098967131,0,0
 11/10  03:00:00,0.029532329,0.064098165,0.093630493,0,0
 11/10  04:00:00,0.035849586,0.056862021,0.092711607,0,0
 11/10  05:00:00,0.041070741,0.067277,0.108347741,0,0
 11/10  06:00:00,0.056955341,0.080047784,0.137003125,0,0.023227122
 11/10  07:00:00,0.073805622,0.133753612,0.207559235,0.05434641,0.33352125
 11/10  08:00:00,0.07224292,0.211338342,0.283581262,0.222132174,0.716249172
 11/10  09:00:00,0.073241707,0.272663295,0.345905002,0.402949842,1.272548574
 11/10  10:00:00,0.07411078,0.334037085,0.408147865,0.59921481,1.565766414
 11/10  11:00:00,0.096315502,0.348809033,0.445124535,0.806517576,1.720295586
 11/10  12:00:00,0.074938227,0.364933981,0.439872208,0.90675651,1.646485578
 11/10  13:00:00,0.057092172,0.355773214,0.412865386,0.824857734,1.433706042
 11/10  14:00:00,0.054281714,0.321952343,0.376234058,0.600085476,1.033396284
 11/10  15:00:00,0.049283777,0.296716788,0.346000566,0.34924941,0.537762642
 11/10  16:00:00,0.04698775,0.306790856,0.353778606,0.088218126,0.100323192
 11/10  17:00:00,0.04493605,0.35732319,0.40225924,0,0
 11/10  18:00:00,0.064229458,0.448200529,0.512429987,0,0
 11/10  19:00:00,0.043750676,0.402135423,0.445886099,0,0
 11/10  20:00:00,0.03945111,0.319977444,0.359428554,0,0
 11/10  21:00:00,0.045360387,0.280754343,0.32611473,0,0
 11/10  22:00:00,0.051513121,0.263298624,0.314811744,0,0
 11/10  23:00:00,0.06952676,0.21075981,0.28028657,0,0
 11/10  24:00:00,0.091903267,0.140550925,0.232454192,0,0
 11/11  01:00:00,0.099434896,0.097466295,0.196901191,0,0
 11/11  02:00:00,0.114656301,0.080608754,0.195265056,0,0
 11/11  03:00:00,0.128359269,0.066709403,0.195068672,0,0
 11/11  04:00:00,0.137408483,0.058227425,0.195635909,0,0
 11/11  05:00:00,0.142891547,0.069948156,0.212839702,0,0
 11/11  06:00:00,0.148785553,0.084144476,0.232930029,0,0.020811726
 11/11  07:00:00,0.16537513,0.144379125,0.309754254,0.05869974,0.333268476
 11/11  08:00:00,0.144929004,0.232499704,0.377428708,0.271226502,0.84005226
 11/11  09:00:00,0.12609279,0.305100596,0.431193386,0.576998784,1.246821798
 11/11  10:00:00,0.106441792,0.379068143,0.485509935,0.825784572,1.570344432
 11/11  11:00:00,0.100800366,0.399725262,0.500525628,0.980454174,1.650080586
 11/11  12:00:00,0.076221514,0.417422741,0.493644254,0.985060278,1.630757418
 11/11  13:00:00,0.060945446,0.40358372,0.464529166,0.867267594,1.409158878
 11/11  14:00:00,0.052815066,0.365540376,0.418355441,0.609381942,1.016376168
 11/11  15:00:00,0.032285816,0.33584236,0.368128177,0.34770468,0.529758132
 11/11  16:00:00,0.031684029,0.343849828,0.375533858,0.094200444,0.093835326
 11/11  17:00:00,0.029439158,0.39324111,0.422680267,0,0
 11/11  18:00:00,0.05941823,0.483552459,0.542970688,0,0
 11/11  19:00:00,0.037488876,0.436445739,0.473934615,0,0
 11/11  20:00:00,0.043316055,0.354222199,0.397538253,0,0
 11/11  21:00:00,0.053040053,0.315609714,0.368649767,0,0
 11/11  22:00:00,0.061973645,0.298905481,0.360879126,0,0
 11/11  23:00:00,0.058298222,0.239053022,0.297351243,0,0
 11/11  24:00:00,0.066113052,0.156085771,0.222198823,0,0
 11/12  01:00:00,0.079385741,0.097466295,0.176852036,0,0
 11/12  02:00:00,0.087470494,0.080608754,0.168079249,0,0
 11/12  03:00:00,0.087157894,0.066709403,0.153867297,0,0
 11/12  04:00:00,0.087953522,0.058227425,0.146180947,0,0
 11/12  05:00:00,0.088017234,0.069948156,0.157965389,0,0
 11/12  06:00:00,0.084798236,0.084144476,0.168942713,0,0.019997232
 11/12  07:00:00,0.079467341,0.144379125,0.223846465,0.072658482,0.302289618
 11/12  08:00:00,0.063360853,0.232499704,0.295860558,0.413903382,0.79048047
 11/12  09:00:00,0.060902174,0.305100596,0.36600277,0.807556758,1.221684828
 11/12  10:00:00,0.057566888,0.379068143,0.436635031,1.041176106,1.505858976
 11/12  11:00:00,0.066628558,0.399725262,0.46635382,1.231346412,1.61045124
 11/12  12:00:00,0.037740252,0.417422741,0.455162992,1.355458446,1.550403372
 11/12  13:00:00,0.031264426,0.40358372,0.434848145,1.235278452,1.349785074
 11/12  14:00:00,0.017020089,0.365540376,0.382560464,0.923439594,0.982953828
 11/12  15:00:00,0.013634544,0.33584236,0.349476905,0.529084068,0.51102477
 11/12  16:00:00,0.016131714,0.343849828,0.359981542,0.14337903,0.087881094
 11/12  17:00:00,0.018408224,0.39324111,0.411649333,0,0
